Conference,Team,Defense Drives,Defense Explosiveness,Defense Field Position Average Predicted Points,Defense Field Position Average Start,Defense Havoc DB,Defense Havoc Front Seven,Defense Havoc Total,Defense Line Yards,Defense Line Yards Total,Defense Open Field Yards,Defense Open Field Yards Total,Defense Passing Downs Explosiveness,Defense Passing Downs PPA,Defense Passing Downs Rate,Defense Passing Downs Success Rate,Defense Passing Downs Total PPA,Defense Passing Plays Explosiveness,Defense Passing Plays PPA,Defense Passing Plays Rate,Defense Passing Plays Success Rate,Defense Plays,Defense Points Per Opportunity,Defense Power Success,Defense PPA,Defense Rushing Plays Explosiveness,Defense Rushing Plays PPA,Defense Rushing Plays Rate,Defense Rushing Plays Success Rate,Defense Rushing Plays Total PPA,Defense Second Level Yards,Defense Second Level Yards Total,Defense Standard Downs Explosiveness,Defense Standard Downs PPA,Defense Standard Downs Rate,Defense Standard Downs Success Rate,Defense Stuff Rate,Defense Success Rate,Defense Total Opportunies,Defense Total PPA,Offense Drives,Offense Explosiveness,Offense Field Position Average Predicted Points,Offense Field Position Average Start,Offense Havoc DB,Offense Havoc Front Seven,Offense Havoc Total,Offense Line Yards,Offense Line Yards Total,Offense Open Field Yards,Offense Open Field Yards Total,Offense Passing Downs Explosiveness,Offense Passing Downs PPA,Offense Passing Downs Rate,Offense Passing Downs Success Rate,Offense Passing Plays Explosiveness,Offense Passing Plays PPA,Offense Passing Plays Rate,Offense Passing Plays Success Rate,Offense Passing Plays Total PPA,Offense Plays,Offense Points Per Opportunity,Offense Power Success,Offense PPA,Offense Rushing Plays Explosiveness,Offense Rushing Plays PPA,Offense Rushing Plays Rate,Offense Rushing Plays Success Rate,Offense Rushing Plays Total PPA,Offense Second Level Yards,Offense Second Level Yards Total,Offense Standard Downs Explosiveness,Offense Standard Downs PPA,Offense Standard Downs Rate,Offense Standard Downs Success Rate,Offense Stuff Rate,Offense Success Rate,Offense Total Opportunies,Offense Total PPA
Mountain West,Air Force,14,0.7501506122166081,-1.508,69.7,None,None,None,4.223529411764706,144,1.2941176470588236,44,1.4992463449645268,0.021838177590879203,0.2835820895522388,0.15789473684210525,-2.1542803052139248,1.0498167316516835,-0.0742855277659974,0.43283582089552236,0.27586206896551724,67,-0.5,1,0.051421327998242235,0.630284164442578,0.20907030868829046,0.5074626865671642,0.5882352941176471,7.108390495401876,1.9411764705882353,66,0.6602591242868578,0.0631313250344901,0.7164179104477612,0.5208333333333334,0.029411764705882353,0.417910447761194,14,3.4452289758822294,18,0.7648064384881822,1.174,72.9,None,None,None,0.2777777777777778,15,0.09259259259259259,5,1.059311271093423,-0.2212635936636614,0.32941176470588235,0.32142857142857145,0.9611477739501659,-0.03989572049396418,0.3411764705882353,0.3448275862068966,-1.1569758943249613,85,0,0.5714285714285714,-0.22851381201879456,0.6420931038244423 ,-0.32896664498047845,0.6352941176470588,0.2962962962962963,-17.764198828945837,0.5,27,0.6088921153442313,-0.23207532278973714,0.6705882352941176,0.2982456140350877,0.3148148148148148,0.3058823529411765,11,-19.423674021597538
Mid-American,Akron,28,1.1966868052730564,-1.973,63.1,None,None,None,2.4955555555555557,225,0.7333333333333333,66,2.038291455330264,-0.03170731216602353,0.3416149068322981,0.2727272727272727,14.309373805934648,1.8245096552960156,0.2201442123989946,0.40372670807453415,0.4,161,0,0.5,-0.04254171755573586,0.6525736685864918,-0.17859512727851012,0.5590062111801242,0.3333333333333333,-16.07356145506591,0.9666666666666667,87,0.8887826650082244,-0.04816334299379415,0.6583850931677019,0.3867924528301887,0.26666666666666666,0.34782608695652173,23,-6.849216526473474,26,0.9939973172420029,1.083,74.9,None,None,None,1.9265822784810127,152,0.7848101265822784,62,1.5619109306531456,0.06892391675814609,0.3597122302158273,0.28,1.1716113651079498,-0.09683399606889669,0.39568345323741005,0.3090909090909091,-5.325869783789318,139,-0.3181818181818182,0.6666666666666666,-0.09847525782607172,0.8821662500671473 ,-0.08283281696310597,0.5683453237410072,0.34177215189873417,-6.543792540085372,0.7721518987341772,61,0.728970964316803,-0.19251973792956487,0.6402877697841727,0.33707865168539325,0.31645569620253167,0.31654676258992803,22,-13.68806083782397
SEC,Alabama,137,1.1180375379746283,-1.428,69.7,None,None,None,2.356797583081571,780,0.8368580060422961,277,1.8298014857813838,0.10377934551089024,0.37101063829787234,0.26881720430107525,30.926578694432393,1.412817960196758,0.07849385455439693,0.523936170212766,0.38071065989847713,752,0,0.7714285714285715,-0.014486424222693781,0.7671084639006646,-0.06758777739085327,0.4401595744680851,0.3806646525679758,-22.371554316372432,0.945619335347432,313,0.8524539753601675,-0.08424572603172115,0.6289893617021277,0.4249471458773784,0.2930513595166163,0.3670212765957447,129,-10.893791015465723,132,0.97156451867017,1.556,68.1,None,None,None,3.3680365296803654,1475,1.178082191780822,516,1.6623020906912,0.2242976538669937,0.31451612903225806,0.2863247863247863,1.2725532791311396,0.04288089436863596,0.3588709677419355,0.36704119850187267,11.4491987964258,744,0,0.5957446808510638,0.03474358466525389,0.8225902836945386 ,0.11356700280170934,0.5887096774193549,0.4520547945205479,49.742347227148684,1.2625570776255708,553,0.7694709932317026,-0.05222828238025028,0.6854838709677419,0.44901960784313727,0.18493150684931506,0.3978494623655914,115,25.849226990948893
Sun Belt,Appalachian State,10,0.9999587919498717,-1.719,64.2,None,None,None,2.926530612244898,143,0.7959183673469388,39,1.1081767472702324,0.021572391531373008,0.4057971014492754,0.32142857142857145,-2.020446325945675,0.7993672298828318,-0.10633928031293027,0.2753623188405797,0.5263157894736842,69,0,1,0.030488672574857965,1.1336864999945648,0.11121507817864745,0.7101449275362319,0.30612244897959184,5.449538830753725,1.0816326530612246,53,0.9390861920821687,0.03657784011675013,0.5942028985507246,0.3902439024390244,0.1836734693877551,0.36231884057971014,9,2.1037184076651996,9,0.8359548574263282,2.023,58.6,None,None,None,3.225,103,0.71875,23,0.9731633256750035,-0.2208670287439222,0.3,0.2777777777777778,0.8699495546508169,-0.1506123412202779,0.4,0.375,-3.6146961892866694,60,0,1,-0.03707147132761431,0.8168328402375534 ,0.186704520495218,0.5333333333333333,0.5,5.974544655846976,1.21875,39,0.8016527403641595,0.04169805327937478,0.7,0.47619047619047616,0.15625,0.4166666666666667,11,-2.224288279656859
Pac-12,Arizona,149,1.0290060315142826,-1.698,66.3,None,None,None,2.230503978779841,841,0.7055702917771883,266,1.9170152337177608,0.10435964963850455,0.37105263157894736,0.2624113475177305,2.6092170086888173,1.4189406067117774,0.007370669516070105,0.46578947368421053,0.3446327683615819,760,-0.3111111111111111,0.7142857142857143,-0.09226104213517365,0.6892059016993229,-0.13970627001889033,0.49605263157894736,0.3713527851458886,-52.66926379712166,0.8806366047745358,332,0.6794704944767432,-0.20825902347445663,0.6289473684210526,0.39330543933054396,0.22811671087533156,0.3447368421052632,135,-70.11839202273198,152,1.0675723564929145,1.398,70.4,None,None,None,1.4382716049382716,466,0.9074074074074074,294,1.8594913744046813,0.07248113942779044,0.34852941176470587,0.2616033755274262,1.3023801265910757,0.07607061009721354,0.4823529411764706,0.4024390243902439,24.95116011188604,680,-0.10852713178294573,0.5833333333333334,-0.09632651712164855,0.766653660833135 ,-0.20825566648942825,0.4764705882352941,0.31790123456790126,-67.47483594257476,0.8209876543209876,266,0.7837632286863853,-0.18663670809730779,0.6514705882352941,0.3905191873589165,0.30246913580246915,0.34558823529411764,129,-65.50203164272101
Pac-12,Arizona State,144,1.0877585324571257,-1.606,67.1,None,None,None,2.26045197740113,800,0.768361581920904,272,1.7568503445183987,0.162474749924039,0.347949080622348,0.2764227642276423,42.128340766840935,1.3514869160482004,0.12922803916208878,0.4611032531824611,0.401840490797546,707,-0.109375,0.7142857142857143,-0.02315666421339025,0.8068770832666318,-0.10616539823146491,0.5007072135785007,0.3474576271186441,-37.58255097393858,0.8107344632768362,287,0.8431443215960153,-0.12221377457739804,0.652050919377652,0.403470715835141,0.2231638418079096,0.3592644978783593,128,-16.371761598866907,139,1.155727340496492,1.603,68,None,None,None,2.3002898550724638,794,0.7681159420289855,265,1.8402663683368838,0.04013160960499839,0.3645680819912152,0.25301204819277107,1.4665965392495341,0.10571371073409452,0.4494875549048316,0.3745928338762215,32.45410919536702,683,-0.1044776119402985,0.5,-0.03088996337436953,0.8674212287497192 ,-0.09016545391758896,0.5051244509516838,0.35942028985507246,-31.107081601568186,1.063768115942029,367,0.9106934839399883,-0.07163736353995159,0.6354319180087847,0.4055299539170507,0.26956521739130435,0.34992679355783307,134,-21.09784498469439
SEC,Arkansas,165,0.9508324028105172,-1.611,67.3,None,None,None,2.2554524361948958,972,0.7610208816705336,328,1.818812664841468,0.06737846486183305,0.34352941176470586,0.2602739726027397,24.381038689332566,1.217440675782026,0.06450010235273165,0.4447058823529412,0.4021164021164021,850,-0.1037037037037037,0.5303030303030303,-0.08154930843518637,0.6732676254703163,-0.1296467872263879,0.5070588235294118,0.33874709976798145,-55.87776529457318,0.7494199535962877,323,0.6536860067999215,-0.15948283854760514,0.6564705882352941,0.3978494623655914,0.27842227378190254,0.35058823529411764,135,-69.31691216990842,165,1.006312721544499,1.639,67,None,None,None,2.088517745302714,1000,0.7077244258872651,339,1.6382811637559132,-0.04544166799656315,0.3644388398486759,0.20069204152249134,1.2863171886405538,-0.0287506539499057,0.3593947036569987,0.32280701754385965,-8.193936375723124,793,-0.0603448275862069,0.6041666666666666,-0.11137965129837926,0.8411818819750307 ,-0.13308716828254363,0.6040353089533418,0.325678496868476,-63.7487536073384,0.8100208768267223,388,0.8133960391852252,-0.14918932823136508,0.6355611601513241,0.376984126984127,0.2651356993736952,0.31273644388398486,116,-88.32406347961475
Sun Belt,Arkansas State,38,0.9024612296256703,-1.6,67.2,None,None,None,2.90625,326,0.5357142857142857,60,1.3351788186160103,0.2586586565881386,0.29107981220657275,0.3548387096774194,25.647540694982723,1.1204165856773824,0.2849726743886969,0.4225352112676056,0.5222222222222223,213,-0.2,0.7,0.07931370104082706,0.6526099678102929,-0.011031990401928518,0.5258215962441315,0.36607142857142855,-1.235582925015994,0.8125,91,0.758222033295557,0.005675374922063383,0.7089201877934272,0.4370860927152318,0.16071428571428573,0.4131455399061033,35,16.893818321696163,44,0.9261623273631194,1.599,67.9,None,None,None,2.746825396825397,346,0.5873015873015873,74,1.2534736831501134,-0.13284168672338498,0.37089201877934275,0.24050632911392406,1.3667833572671115,-0.38592589783865655,0.3755868544600939,0.2375,-30.874071827092525,213,0,0.8571428571428571,-0.2006848105955939,0.7587263359996025 ,-0.03953058462276965,0.5915492957746479,0.3968253968253968,-4.980853662468975,1.007936507936508,127,0.8017840121640618,-0.24068187616204545,0.6291079812206573,0.373134328358209,0.25396825396825395,0.323943661971831,34,-42.74586465686151
FBS Independents,Army,12,0.8311141091851635,-2.293,58.9,None,None,None,2.488095238095238,105,0.3333333333333333,14,1.3173740726418837,0.15173305793218353,0.2714285714285714,0.3684210526315789,2.660544938906847,1.031964924318989,0.09853870144099434,0.38571428571428573,0.48148148148148145,70,0,0.6,-0.060348444878243555,0.6446097808466112,-0.13714678200934216,0.6,0.3333333333333333,-5.76016484439237,0.6428571428571429,27,0.6609231219753114,-0.1393592008272262,0.7285714285714285,0.39215686274509803,0.21428571428571427,0.38571428571428573,8,-4.2243911414770485,15,0.8833782649588903,1.225,70.7,None,None,None,3.136111111111111,113,0.19444444444444445,7,1.3200878208830837,-0.05052669754672662,0.36231884057971014,0.08,1.5667226694190817,-0.375180123904925,0.4057971014492754,0.14285714285714285,-10.5050434693379,69,0,0.6,-0.2119774179149974,0.6881370065416927 ,0.03452727213217606,0.5217391304347826,0.3888888888888889,1.242981796758338,1.3611111111111112,49,0.8287895704683661,-0.3037107817606058,0.6376811594202898,0.36363636363636365,0.25,0.2608695652173913,12,-14.626441836134822
SEC,Auburn,139,1.0773844996483923,-1.513,68.4,None,None,None,2.3014285714285716,806,1.16,406,1.5936178827750533,0.06229616739349206,0.37163120567375885,0.24427480916030533,20.370314637110805,1.2842120716367293,0.06267789119111017,0.46099290780141844,0.36,705,-0.06086956521739131,0.5227272727272727,-0.05582909845092272,0.8573951730789793,-0.11408235063460839,0.49645390070921985,0.3142857142857143,-39.92882272211294,0.8314285714285714,291,0.8746916375618505,-0.1256909938261748,0.6283687943262412,0.36794582392776526,0.27714285714285714,0.3219858156028369,115,-39.35951440790052,143,1.0103391125525336,1.635,66.6,None,None,None,2.4066137566137566,910,0.7698412698412699,291,1.8050469669473903,0.005202830182867506,0.34545454545454546,0.22267206477732793,1.340450152241882,0.004778438880979923,0.42657342657342656,0.3704918032786885,1.4574238586988764,715,-0.05982905982905983,0.5,-0.07885628115893974,0.7255868416754622 ,-0.10057703688119413,0.5286713286713287,0.34656084656084657,-38.01811994109138,0.8624338624338624,326,0.7790749221201679,-0.12322081214489357,0.6545454545454545,0.40384615384615385,0.2724867724867725,0.3412587412587413,117,-56.382241028641914
