Conference,Team,Defense Drives,Defense Explosiveness,Defense Field Position Average Predicted Points,Defense Field Position Average Start,Defense Havoc DB,Defense Havoc Front Seven,Defense Havoc Total,Defense Line Yards,Defense Line Yards Total,Defense Open Field Yards,Defense Open Field Yards Total,Defense Passing Downs Explosiveness,Defense Passing Downs PPA,Defense Passing Downs Rate,Defense Passing Downs Success Rate,Defense Passing Downs Total PPA,Defense Passing Plays Explosiveness,Defense Passing Plays PPA,Defense Passing Plays Rate,Defense Passing Plays Success Rate,Defense Plays,Defense Points Per Opportunity,Defense Power Success,Defense PPA,Defense Rushing Plays Explosiveness,Defense Rushing Plays PPA,Defense Rushing Plays Rate,Defense Rushing Plays Success Rate,Defense Rushing Plays Total PPA,Defense Second Level Yards,Defense Second Level Yards Total,Defense Standard Downs Explosiveness,Defense Standard Downs PPA,Defense Standard Downs Rate,Defense Standard Downs Success Rate,Defense Stuff Rate,Defense Success Rate,Defense Total Opportunies,Defense Total PPA,Offense Drives,Offense Explosiveness,Offense Field Position Average Predicted Points,Offense Field Position Average Start,Offense Havoc DB,Offense Havoc Front Seven,Offense Havoc Total,Offense Line Yards,Offense Line Yards Total,Offense Open Field Yards,Offense Open Field Yards Total,Offense Passing Downs Explosiveness,Offense Passing Downs PPA,Offense Passing Downs Rate,Offense Passing Downs Success Rate,Offense Passing Plays Explosiveness,Offense Passing Plays PPA,Offense Passing Plays Rate,Offense Passing Plays Success Rate,Offense Passing Plays Total PPA,Offense Plays,Offense Points Per Opportunity,Offense Power Success,Offense PPA,Offense Rushing Plays Explosiveness,Offense Rushing Plays PPA,Offense Rushing Plays Rate,Offense Rushing Plays Success Rate,Offense Rushing Plays Total PPA,Offense Second Level Yards,Offense Second Level Yards Total,Offense Standard Downs Explosiveness,Offense Standard Downs PPA,Offense Standard Downs Rate,Offense Standard Downs Success Rate,Offense Stuff Rate,Offense Success Rate,Offense Total Opportunies,Offense Total PPA
Mountain West,Air Force,129,0.9373287991313524,-1.594,67.4,0.01702127659574468,0,0.01702127659574468,2.933416458852868,1176,0.6658354114713217,267,1.6211235608469987,0.16906632109249395,0.3148936170212766,0.32432432432432434,33.43843156067801,1.1316937940937633,0.11490869952123028,0.4127659574468085,0.4329896907216495,705,-0.09859154929577464,0.5714285714285714,0.04236826868452093,0.8368496231284045,-0.0037237557077598993,0.5687943262411348,0.3865336658354115,-1.4932260388117196,0.9750623441396509,391,0.7135414225698681,-0.01586561875765301,0.6851063829787234,0.4554865424430642,0.18703241895261846,0.41418439716312055,71,29.869629422587252,132,0.8261080634453695,1.47,69.3,0.00804289544235925,0,0.00804289544235925,2.645348837209302,1593,0.7840531561461794,472,1.3113005272087588,0.2073864766301263,0.3485254691689008,0.3038461538461538,1.5167154075369034,0.19797585410862473,0.16085790884718498,0.35,23.757102493034967,746,-0.2222222222222222,0.7407407407407407,0.016865233256609054,0.8168796625286091 ,-0.0026059494653363773,0.806970509383378,0.36046511627906974,-1.5687815781324992,0.7940199335548173,478,0.6372893213896662,-0.0850597117580298,0.6514745308310992,0.4176954732510288,0.20431893687707642,0.3780160857908847,63,12.581464009430354
Mid-American,Akron,118,0.8507241185912378,-1.497,68.7,0.013196480938416423,0,0.013196480938416423,2.9997429305912595,1167,0.9408740359897172,366,1.4370935141062375,0.26783661299961486,0.2903225806451613,0.3383838383838384,42.33437552210328,1.0830374738387962,0.151194198293226,0.41055718475073316,0.45,682,-0.22580645161290322,0.7924528301886793,0.08877125052134766,0.7512069288295563,0.05360355114399821,0.5703812316715543,0.4370179948586118,20.8517813950153,1.1336760925449871,441,0.6877085605020055,0.01551723859842015,0.7096774193548387,0.49793388429752067,0.18508997429305912,0.45161290322580644,62,60.5419928555591,115,0.7740143920657013,1.735,66.2,0.022187004754358162,0,0.022187004754358162,3.1664451827242526,953,0.8538205980066446,257,1.3251115204914752,0.1742457740097304,0.2900158478605388,0.3333333333333333,1.1116257048157092,0.11102274847502502,0.4976228209191759,0.42038216560509556,34.86114302115786,631,0,0.7,0.05066716611580269,0.5864395193701855 ,0.008196328944866034,0.47702060221870046,0.4750830564784053,2.467095012404676,1.1029900332225915,332,0.6278538493093004,0.00018751155198847672,0.7099841521394612,0.5133928571428571,0.17275747508305647,0.4611727416798732,65,31.9709818190715
SEC,Alabama,173,0.8993647264776004,-1.294,71.7,0.017793594306049824,0,0.017793594306049824,2.378272980501393,854,0.3871866295264624,139,1.38933586443218,0.09103069813086437,0.36892052194543296,0.2765273311897106,11.925124809096156,1.1469581282819505,0.025158491158430708,0.5622775800711743,0.3438818565400844,843,-0.109375,0.5555555555555556,-0.05047663483366675,0.6767125008484635,-0.13399848570076067,0.4258600237247924,0.34540389972144847,-48.10545636657308,0.7353760445682451,264,0.6987098795057249,-0.13319990654789454,0.631079478054567,0.39473684210526316,0.27298050139275765,0.35112692763938314,64,-42.55180316478107,165,0.7865065972127618,1.68,66.7,0.010238907849829351,0,0.010238907849829351,3.1013698630136988,1585,0.6868884540117417,351,1.2876441649596115,0.18285017319955513,0.29579067121729236,0.3346153846153846,1.1661107214894493,0.15576927996125203,0.39590443686006827,0.4339080459770115,54.20770942651571,879,-0.2857142857142857,0.746268656716418,0.06313807639586368,0.6330200706391403 ,0.017534693100200904,0.5813424345847554,0.4324853228962818,8.960228174202662,0.9393346379647749,480,0.6435591598554637,0.01285512781919199,0.7042093287827076,0.4927302100161551,0.1506849315068493,0.4459613196814562,98,55.49836915196418
Sun Belt,Appalachian State,14,0.7199630304226717,-2.002,64.2,0.01639344262295082,0,0.01639344262295082,3.635135135135135,135,1.7567567567567568,65,1.6536072893776823,0.04490954794153585,0.2786885245901639,0.17647058823529413,0.7480095399803567,1.075507147467198,0.03400043363547076,0.36065573770491804,0.4090909090909091,61,0,0.6666666666666666,0.06528922608912813,0.7256004586238656,0.13757947360627426,0.6065573770491803,0.4594594594594595,5.0904405234321475,1.4054054054054055,52,0.6079257193480705,0.07316319264615243,0.7213114754098361,0.5681818181818182,0.16216216216216217,0.45901639344262296,8,3.982642791436816,14,1.2660370474126146,1.509,67.4,None,None,None,1.664,42,0.32,8,1.4627222929069243,0.18754070477340848,0.3709677419354839,0.2608695652173913,1.5020488492395294,-0.14110119974537527,0.5645161290322581,0.22857142857142856,-4.938541991088135,62,0,0.5,-0.1841584373442427,1.0632195287412844 ,-0.3173812351660057,0.4032258064516129,0.16,-7.9345308791501425,0.6,15,1.1185231132918823,-0.40336562372131907,0.6290322580645161,0.20512820512820512,0.32,0.22580645161290322,4,-11.417823115343047
Pac-12,Arizona,140,0.8382276979334851,-1.524,68.5,0.02282453637660485,0,0.02282453637660485,2.790577507598784,918,0.8206686930091185,270,1.5145703167675189,0.2884745680025932,0.3466476462196862,0.32510288065843623,23.223438213528024,1.1012177978413087,0.06486993914393303,0.5106990014265336,0.3743016759776536,701,-0.1044776119402985,0.8,0.03083767145775263,0.6692942151849928,-0.003269600482853505,0.4693295292439372,0.4133738601823708,-1.075698558858803,0.9756838905775076,321,0.5775883472608574,-0.10585614046450992,0.6533523537803139,0.44759825327510916,0.182370820668693,0.4051355206847361,67,21.617207691884595,140,0.8835552923222602,1.598,67.5,0.010854816824966078,0,0.010854816824966078,2.843324250681199,1044,0.8147138964577657,299,1.4803793898021316,0.2665156588826179,0.3242876526458616,0.33472803347280333,1.212760497860621,0.16139135768846255,0.48575305291723203,0.4134078212290503,57.778106052469596,737,-0.18666666666666668,0.6486486486486487,0.05434718925344005,0.6435747099423188 ,-0.03793390719674553,0.49796472184531887,0.3896457765667575,-13.92174394120561,0.9918256130790191,364,0.6694479927779117,-0.047476634524418394,0.6757123473541384,0.44779116465863456,0.19346049046321526,0.41112618724559025,75,40.05387847978532
Pac-12,Arizona State,155,0.8733166922369078,-1.386,70.5,0.01932367149758454,0,0.01932367149758454,2.3739240506329113,938,0.9392405063291139,371,1.3621404145903397,0.23599448554247313,0.31280193236714976,0.3590733590733591,39.873339690032154,1.098875870586955,0.09701542503657459,0.4963768115942029,0.40632603406326034,828,-0.1,0.46938775510204084,-0.010329108889433825,0.7976888956647715,-0.0952462977119103,0.47705314009661837,0.3392405063291139,-37.622287596204565,0.8582278481012658,339,0.6747987613248153,-0.12245179950079393,0.6871980676328503,0.4024604569420035,0.24050632911392406,0.3888888888888889,70,-8.552502160451207,149,0.8429014353176892,1.571,67.9,0.014492753623188406,0,0.014492753623188406,2.779204892966361,909,0.4709480122324159,154,1.1971927212296922,0.02431190693066151,0.3451910408432148,0.2900763358778626,1.1291078124584264,0.05434509497681254,0.544137022397892,0.37772397094430993,22.444524225423578,759,-0.29577464788732394,0.6976744186046512,-0.007572213715594864,0.6792007475809705 ,-0.05672185519908427,0.4308300395256917,0.3547400611620795,-18.548046650100556,0.8776758409785933,287,0.7176635854139114,-0.02438034170215255,0.6548089591567853,0.43259557344064387,0.2018348623853211,0.383399209486166,71,-5.747310210136502
SEC,Arkansas,144,0.8926983926223175,-1.715,65.7,0.014211886304909561,0,0.014211886304909561,2.7619277108433735,1146,0.5277108433734939,219,1.4334754671599972,0.15409970106911147,0.330749354005168,0.31640625,12.488699040057858,1.273749611254051,0.03662375085060955,0.4405684754521964,0.34310850439882695,774,0,0.7547169811320755,0.025686233882043438,0.7283759681779413,0.021845102704327587,0.5361757105943152,0.42168674698795183,9.06571762229595,0.9204819277108434,382,0.700580221404984,-0.03777679237256934,0.6692506459948321,0.44015444015444016,0.20481927710843373,0.3992248062015504,92,19.88114502470162,151,0.9668075057308746,1.255,72.3,0.023076923076923078,0,0.023076923076923078,2.722151898734177,860,1.1613924050632911,367,1.5576486723689904,0.27618981324261155,0.34487179487179487,0.3271375464684015,1.1415634740270941,0.09814351977673544,0.5820512820512821,0.3898678414096916,44.55715797863789,780,-0.10144927536231885,0.6136363636363636,0.051259385069089086,0.8327621148912465 ,0.007825585047325381,0.40512820512820513,0.3987341772151899,2.4728848749548202,1.0569620253164558,334,0.7346913331230435,-0.06714821802029945,0.6551282051282051,0.4383561643835616,0.2563291139240506,0.4,69,39.982320353889484
Sun Belt,Arkansas State,120,0.967692041894492,-1.671,67.2,0.022508038585209004,0,0.022508038585209004,2.75709219858156,778,0.8865248226950354,250,1.5877892346963478,0.21481083165302814,0.33440514469453375,0.33653846153846156,27.24524677127657,1.2243896255567113,0.08231192378029176,0.5321543408360129,0.38368580060422963,622,0,0.7857142857142857,0.02774598139680115,0.7610351852242229,-0.025149165879932416,0.4533762057877814,0.41134751773049644,-7.092064778140942,1.021276595744681,288,0.7278754479932217,-0.06623829119569936,0.6655948553054662,0.43719806763285024,0.22695035460992907,0.40353697749196143,61,17.258000428810316,123,0.9811875777706737,1.552,68.4,0.011976047904191617,0,0.011976047904191617,3.151490514905149,1163,0.991869918699187,366,1.56481586368993,0.2340331661742359,0.3143712574850299,0.34285714285714286,1.3451608927519296,0.06554816023214516,0.42664670658682635,0.36140350877192984,18.68122566616137,668,-0.10294117647058823,0.6122448979591837,0.06416156329728906,0.8559787391208857 ,0.07458613352518216,0.5523952095808383,0.44173441734417346,27.52228327079222,1.3224932249322492,488,0.7791624018755464,-0.013727162912664733,0.6856287425149701,0.45414847161572053,0.21951219512195122,0.41916167664670656,68,42.85992428258909
FBS Independents,Army,136,0.8552841304759553,-1.653,66.4,0.010263929618768328,0,0.010263929618768328,2.7897172236503858,1085,0.583547557840617,227,1.3788200054019026,0.1921092623980652,0.29765395894428154,0.29064039408866993,49.32483462263029,1.2312499212615824,0.177427462671332,0.40762463343108507,0.41007194244604317,682,-0.28378378378378377,0.7115384615384616,0.032092384643777845,0.6834988567392826,-0.06134170246426539,0.5703812316715543,0.39588688946015427,-23.861922258599236,1.0102827763496145,393,0.7173885205624245,-0.03572270133559653,0.7023460410557185,0.46764091858037576,0.20051413881748073,0.4149560117302053,74,21.887006327056493,145,0.8251353925927405,1.568,67.8,0.008152173913043478,0,0.008152173913043478,2.8351260504201683,1687,0.8974789915966387,534,1.6519281545134141,-0.0625686547198452,0.30570652173913043,0.19111111111111112,1.4593243072817608,-0.10226148088077343,0.18070652173913043,0.24812030075187969,-13.600776957142866,736,-0.1206896551724138,0.7246376811594203,-0.06296344547327731,0.7737718060201024 ,-0.047450805265456766,0.8084239130434783,0.3831932773109244,-28.23322913294678,0.8033613445378152,478,0.6671261092034562,-0.06313727701833059,0.6942934782608695,0.44031311154598823,0.18319327731092436,0.3641304347826087,58,-46.341095868332104
SEC,Auburn,159,0.8744846014445024,-1.502,69.5,0.01453104359313078,0,0.01453104359313078,2.506842105263158,953,1,380,1.6491107484565128,0.10613028392930178,0.3394980184940555,0.26459143968871596,-10.35274329136892,1.0311983047576254,-0.02836368025032581,0.4821664464993395,0.3643835616438356,757,-0.1,0.6097560975609756,-0.05230696328828384,0.8145438656411454,-0.06580142046302496,0.5019815059445178,0.3815789473684211,-25.004539775949485,1.0789473684210527,410,0.636138094671576,-0.13374370835812285,0.6605019815059445,0.442,0.2736842105263158,0.3817701453104359,70,-39.59637120923087,157,0.9599267921410762,1.443,69.9,0.015018773466833541,0,0.015018773466833541,2.426388888888889,1048,0.6180555555555556,267,1.612333214206772,0.18072475219533202,0.3504380475594493,0.2892857142857143,1.3218304052537928,0.000950089615720412,0.44430538172715894,0.323943661971831,0.33728181358074627,799,-0.3181818181818182,0.5957446808510638,-0.029171512078438572,0.751662037401657 ,-0.05606230576348155,0.5406758448060075,0.37037037037037035,-24.218916089824027,0.9490740740740741,410,0.702146693666338,-0.14241034444193715,0.6495619524405507,0.394990366088632,0.2777777777777778,0.3579474342928661,66,-23.30803815067242
