Conference,Team,Defense Drives,Defense Explosiveness,Defense Field Position Average Predicted Points,Defense Field Position Average Start,Defense Havoc DB,Defense Havoc Front Seven,Defense Havoc Total,Defense Line Yards,Defense Line Yards Total,Defense Open Field Yards,Defense Open Field Yards Total,Defense Passing Downs Explosiveness,Defense Passing Downs PPA,Defense Passing Downs Rate,Defense Passing Downs Success Rate,Defense Passing Downs Total PPA,Defense Passing Plays Explosiveness,Defense Passing Plays PPA,Defense Passing Plays Rate,Defense Passing Plays Success Rate,Defense Plays,Defense Points Per Opportunity,Defense Power Success,Defense PPA,Defense Rushing Plays Explosiveness,Defense Rushing Plays PPA,Defense Rushing Plays Rate,Defense Rushing Plays Success Rate,Defense Rushing Plays Total PPA,Defense Second Level Yards,Defense Second Level Yards Total,Defense Standard Downs Explosiveness,Defense Standard Downs PPA,Defense Standard Downs Rate,Defense Standard Downs Success Rate,Defense Stuff Rate,Defense Success Rate,Defense Total Opportunies,Defense Total PPA,Offense Drives,Offense Explosiveness,Offense Field Position Average Predicted Points,Offense Field Position Average Start,Offense Havoc DB,Offense Havoc Front Seven,Offense Havoc Total,Offense Line Yards,Offense Line Yards Total,Offense Open Field Yards,Offense Open Field Yards Total,Offense Passing Downs Explosiveness,Offense Passing Downs PPA,Offense Passing Downs Rate,Offense Passing Downs Success Rate,Offense Passing Plays Explosiveness,Offense Passing Plays PPA,Offense Passing Plays Rate,Offense Passing Plays Success Rate,Offense Passing Plays Total PPA,Offense Plays,Offense Points Per Opportunity,Offense Power Success,Offense PPA,Offense Rushing Plays Explosiveness,Offense Rushing Plays PPA,Offense Rushing Plays Rate,Offense Rushing Plays Success Rate,Offense Rushing Plays Total PPA,Offense Second Level Yards,Offense Second Level Yards Total,Offense Standard Downs Explosiveness,Offense Standard Downs PPA,Offense Standard Downs Rate,Offense Standard Downs Success Rate,Offense Stuff Rate,Offense Success Rate,Offense Total Opportunies,Offense Total PPA
Sun Belt,Louisiana Monroe,28,0.6889252785223169,-2.077,60,0.15447154471544716,0,0.15447154471544716,3.56,267,1.6933333333333334,127,1.0133319639968799,-0.15186621628344515,0.25203252032520324,0.25806451612903225,-12.027613952224634,0.6438527203349853,-0.25057529067134654,0.3902439024390244,0.375,123,0,0.7857142857142857,0.012255544731719317,0.708713230897243,0.18046727938968146,0.6097560975609756,0.5466666666666666,13.53504595422611,1.44,108,0.6380379553106208,0.06755744246508995,0.7479674796747967,0.5543478260869565,0.17333333333333334,0.4796747967479675,15,1.5074320020014762,28,1.175352592798628,1.337,72,0.10655737704918032,0,0.10655737704918032,0.40555555555555556,22,1.8148148148148149,98,1.9827018451387979,-0.09866592044754952,0.36885245901639346,0.17777777777777778,1.3710649912686033,-0.04055770895781722,0.5409836065573771,0.3484848484848485,-2.676808791215936,122,0,0.6,-0.030896685230240733,1.0410710894609478 ,0.03130402499726,0.4426229508196721,0.35185185185185186,1.6904173498520396,1.2407407407407407,67,0.9908156208351606,0.008708711974679983,0.6311475409836066,0.45454545454545453,0.3333333333333333,0.3524590163934426,14,-3.7693955980893694
Conference USA,Louisiana Tech,48,0.8441852538519593,-1.664,67.5,0.0390625,0,0.0390625,3.6673202614379083,561,1.156862745098039,177,1.6610081558887417,0.4069837290283818,0.2109375,0.3888888888888889,27.451809397890102,1.3638933177921049,0.27729100401909196,0.38671875,0.42424242424242425,256,0,0.7272727272727273,0.2252029747139504,0.6430810161029724,0.19968476079444872,0.59765625,0.5882352941176471,30.551768401550653,1.4444444444444444,221,0.695026289132199,0.1766081196001915,0.7890625,0.5693069306930693,0.13725490196078433,0.53125,38,57.6519615267713,50,0.9379526909192958,1.427,69.8,0.07692307692307693,0,0.07692307692307693,2.7042105263157894,257,0.8526315789473684,81,1.354545724905625,-0.016416610901881522,0.3603238866396761,0.29213483146067415,1.1082510043260816,-0.1357578504347891,0.611336032388664,0.31788079470198677,-20.499435415653153,247,0,0.5,-0.11447921132717709,0.752983322965854 ,-0.07188970463126505,0.38461538461538464,0.35789473684210527,-6.8295219399701805,0.9263157894736842,88,0.7479277982237772,-0.1697170052376284,0.6396761133603239,0.36075949367088606,0.22105263157894736,0.3360323886639676,21,-28.27636519781274
ACC,Louisville,166,1.0247920826381518,-1.341,70.9,0.015113350125944584,0,0.015113350125944584,2.621282798833819,899,0.8483965014577259,291,1.692691072563023,0.12401924339391396,0.371536523929471,0.26101694915254237,14.545144189507552,1.3514725743763483,0.03298218637076542,0.5554156171284634,0.3401360544217687,794,0,0.5833333333333334,-0.009123615625542649,0.7582333018169024,-0.051567882124206724,0.43198992443324935,0.37900874635568516,-17.687783568602907,1.0670553935860059,366,0.7833450299423064,-0.08783532586750598,0.628463476070529,0.42685370741482964,0.239067055393586,0.36523929471032746,74,-7.244150806680864,157,0.9418300595734301,1.575,68.3,0.008433734939759036,0,0.008433734939759036,3.265962441314554,1391,1.0704225352112675,456,1.4786396260282468,0.3537170641367577,0.3060240963855422,0.3858267716535433,1.3171086949307198,0.33044304135131364,0.4614457831325301,0.4908616187989556,126.55968483755312,830,-0.20588235294117646,0.7608695652173914,0.18336319139613258,0.6864398603118188 ,0.06245217690458009,0.5132530120481927,0.45774647887323944,26.604627361351117,1.2582159624413145,536,0.7699106559375738,0.1082418655695375,0.6939759036144578,0.53125,0.16666666666666666,0.4867469879518072,102,152.19144885879004
SEC,LSU,143,0.9519881027610418,-1.366,70.6,0.021476510067114093,0,0.021476510067114093,2.661449275362319,918,0.6463768115942029,223,1.363126598356301,0.05095930497181435,0.4,0.25838926174496646,-47.60057516249337,1.1287459247392513,-0.12143003867983003,0.5261744966442953,0.29081632653061223,745,0,0.7878787878787878,-0.07031785138377396,0.8576361470455489,-0.007624499604912774,0.46308724832214765,0.3188405797101449,-2.630452363694907,0.9159420289855073,316,0.7477451081750098,-0.15116928895416618,0.6,0.34675615212527966,0.20579710144927535,0.31140939597315437,61,-52.3867992809116,136,0.968684589279292,1.381,70.5,0.011688311688311689,0,0.011688311688311689,3.078345498783455,1265,1.1654501216545012,479,1.71042554413292,0.43946828713923974,0.2831168831168831,0.4036697247706422,1.2406448653356632,0.2621373185425628,0.45454545454545453,0.48,91.74806148989697,770,-0.07692307692307693,0.7407407407407407,0.15704083106761976,0.7677905674077603 ,0.07148646594558794,0.5337662337662338,0.44525547445255476,29.380937503636645,1.1094890510948905,456,0.7287095744737065,0.045502451677016206,0.7168831168831169,0.4927536231884058,0.1897810218978102,0.4675324675324675,91,120.92143992206721
Sun Belt,Marshall,107,0.8151816988938296,-1.617,67.4,0.017001545595054096,0,0.017001545595054096,3.04773413897281,1009,0.9123867069486404,302,1.4401501759490578,0.3206918101377547,0.2642967542503864,0.3684210526315789,76.5433674731637,1.1536156236833779,0.25429690190419835,0.4652241112828439,0.48172757475083056,647,-0.0945945945945946,0.6666666666666666,0.10619856890189866,0.6182570404051255,-0.004565020689750228,0.5115919629057187,0.46827794561933533,-1.5110218483073254,1.1117824773413898,368,0.6589395796300226,0.02914322383607642,0.7357032457496137,0.5294117647058824,0.19637462235649547,0.4868624420401855,74,68.71047407952844,105,0.9092362586190599,1.272,72.1,0.02952029520295203,0,0.02952029520295203,2.415862068965517,701,0.996551724137931,289,1.6172984212027093,0.2401255089046735,0.33210332103321033,0.3333333333333333,1.108027406741164,0.18173514507821883,0.45387453874538747,0.46747967479674796,44.70684568924183,542,-0.125,0.7241379310344828,0.05536128505552611,0.7021875962197609 ,-0.06057212277945273,0.5350553505535055,0.3793103448275862,-17.56591560604129,1.0103448275862068,293,0.6593319659424777,-0.03651042846062452,0.6678966789667896,0.4696132596685083,0.23793103448275862,0.42435424354243545,56,30.00581650009515
Big Ten,Maryland,142,0.9685708961262286,-1.259,72.4,0.009888751545117428,0,0.009888751545117428,3.0270588235294116,1287,1.0705882352941176,455,1.6365614534480974,0.27647223388084896,0.3411619283065513,0.3188405797101449,46.27127267898658,1.388984522160488,0.12505749372699074,0.4573547589616811,0.3783783783783784,809,-0.3835616438356164,0.673469387755102,0.0698508883516001,0.7526488744763431,0.042271951363310516,0.5253399258343634,0.40941176470588236,17.965579329406967,1.0729411764705883,456,0.7236410251082099,-0.0371425288455344,0.6588380716934487,0.450281425891182,0.18823529411764706,0.4054388133498146,73,56.509368676444474,141,0.8369167128704493,1.599,67.6,0.014157014157014158,0,0.014157014157014158,2.575786924939467,1064,0.7796610169491526,322,1.1886629025950635,0.09257570665770368,0.323037323037323,0.3187250996015936,1.1254458716214772,0.08711224418032883,0.444015444015444,0.39420289855072466,30.053724242213445,777,0,0.6521739130434783,0.008554669058943155,0.7298972843723573 ,-0.042921075157381396,0.5315315315315315,0.39951573849878935,-17.726404039998517,0.9685230024213075,400,0.7196679829622445,-0.0315390199853323,0.676962676962677,0.45627376425855515,0.23486682808716708,0.4118404118404118,77,6.646977858798832
American Athletic,Memphis,130,0.8445601653070726,-1.566,68.3,0.013175230566534914,0,0.013175230566534914,3.26509009009009,1450,0.8040540540540541,357,1.700436872202459,0.31429034056173394,0.2753623188405797,0.3349282296650718,70.46920026436028,1.3195738803978652,0.23411694439986808,0.3965744400527009,0.4318936877076412,759,0,0.7407407407407407,0.10524202833931674,0.6088289506465834,0.026926724652988322,0.5849802371541502,0.4527027027027027,11.955465745926816,1.0067567567567568,447,0.6267006399155196,0.025803669694798206,0.7246376811594203,0.5,0.14189189189189189,0.45454545454545453,80,79.8786995095414,128,0.7989957788792033,1.492,68.6,0.01694915254237288,0,0.01694915254237288,2.843304843304843,998,0.5584045584045584,196,1.2175960920799902,0.13396993723589606,0.3155149934810952,0.30991735537190085,1.1066067647546556,0.09134245051956623,0.5228161668839635,0.39650872817955113,36.62832265834606,767,0.1,0.7222222222222222,0.029620807188307337,0.6095360932185536 ,-0.014853124322912439,0.4576271186440678,0.42450142450142453,-5.213446637342266,0.9430199430199431,331,0.6724029422257395,-0.018479172757438322,0.6844850065189049,0.4723809523809524,0.21652421652421652,0.4211212516297262,70,22.71915911343173
ACC,Miami,155,1.0213282791686262,-1.439,70,0.016282225237449117,0,0.016282225237449117,1.9172106824925816,646,0.42433234421364985,143,1.5868923878699692,0.15364064886016277,0.3921302578018996,0.2906574394463668,14.910230538946262,1.36083430176255,0.03862754025633747,0.5237449118046132,0.32642487046632124,737,0,0.59375,-0.06880568992532557,0.7732056321440215,-0.17774323557189484,0.45725915875169604,0.3086053412462908,-59.899470387728556,0.857566765578635,289,0.7225396934396148,-0.21230343972221424,0.6078697421981004,0.3549107142857143,0.3353115727002967,0.32971506105834464,61,-50.70979347496494,152,1.012722202047869,1.509,69,0.01971090670170828,0,0.01971090670170828,2.545714285714286,980,0.7636363636363637,294,1.7249146559620088,0.22308003702163087,0.3587385019710907,0.2893772893772894,1.2809010022516143,0.13684131666119462,0.4756898817345598,0.3839779005524862,49.536556631352454,761,-0.0945945945945946,0.5581395348837209,0.024514709171266046,0.8317777821449394 ,-0.0718201218354298,0.5059132720105125,0.36363636363636365,-27.650746906640475,1.0025974025974027,386,0.7473297310138264,-0.08656794349912247,0.6412614980289093,0.4344262295081967,0.2545454545454545,0.3823915900131406,74,18.65569367933346
Mid-American,Miami (OH),140,0.90344648956586,-1.677,66.9,0.020260492040520984,0,0.020260492040520984,2.755361596009975,1105,1.366583541147132,548,1.4527261932764772,0.24567450560764595,0.34008683068017365,0.3148936170212766,18.03823605156817,1.0792086378899413,0.06535592772307307,0.3994211287988423,0.38768115942028986,691,-0.2,0.7,0.060811205664112675,0.8814239417645039,0.06637655469045227,0.5803183791606368,0.39900249376558605,26.61699843087136,1.0897755610972568,437,0.7070856293021611,-0.03445825812257662,0.6599131693198264,0.45394736842105265,0.19451371571072318,0.40665701881331406,70,42.02054311390186,144,0.9410426120990538,1.468,69,0.013819095477386936,0,0.013819095477386936,2.412084592145015,798,0.552870090634441,183,1.5480358704103352,0.165940080619108,0.39321608040201006,0.29073482428115016,1.1998114617965663,0.055001801883711815,0.5690954773869347,0.36423841059602646,24.915816253321452,796,-0.0945945945945946,0.5,-0.013430785139277755,0.7155277123565932 ,-0.09513497050792565,0.4158291457286432,0.36555891238670696,-31.489675238123386,0.9607250755287009,318,0.6742001652085872,-0.12966904804274512,0.6067839195979899,0.42857142857142855,0.24773413897280966,0.3743718592964824,74,-10.690904970865093
Big Ten,Michigan,158,1.0525438653777839,-1.196,73.1,0.015463917525773196,0,0.015463917525773196,1.9305882352941175,492,0.4549019607843137,116,1.6162216098963569,0.14295864028441235,0.39304123711340205,0.2819672131147541,16.980301903612126,1.2444417477079426,0.03329470961492574,0.6572164948453608,0.3392156862745098,776,0,0.4722222222222222,-0.03128647379940766,0.8281877115461966,-0.14651917882621981,0.3286082474226804,0.30980392156862746,-37.362390600686055,0.7607843137254902,194,0.7786665431823191,-0.14412035871568177,0.6069587628865979,0.37579617834394907,0.32941176470588235,0.3389175257731959,59,-24.278303668340342,157,0.8629299301111102,1.628,67.5,0.009569377990430622,0,0.009569377990430622,2.949380165289256,1428,0.9276859504132231,449,1.2584132261634824,0.2027503996528594,0.3157894736842105,0.36742424242424243,1.1680035167280103,0.18764563032551396,0.39952153110047844,0.4281437125748503,62.67364052872166,836,-0.1590909090909091,0.6521739130434783,0.06198889662027492,0.745406376678546 ,-0.006244899187933617,0.5789473684210527,0.40702479338842973,-3.022531206959871,0.981404958677686,475,0.7153842388915713,-0.0029779509332255962,0.6842105263157895,0.45454545454545453,0.21074380165289255,0.4270334928229665,88,51.82271757454984
